createdAt,updatedAt,requirementId,opportunityId
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,1,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,6,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,5,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,7,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,8,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,9,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,10,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,11,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,12,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,13,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,83,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,14,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,15,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,18,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,19,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,20,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,38,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,41,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,46,9
2014-11-05 05:16:46.302-08,2014-11-05 05:16:46.302-08,87,9
2014-11-06 06:41:16.736-08,2014-11-06 06:41:16.736-08,87,94
2014-11-06 06:41:16.736-08,2014-11-06 06:41:16.736-08,1,94
2014-11-06 06:41:16.736-08,2014-11-06 06:41:16.736-08,10,94
2014-11-06 06:41:16.736-08,2014-11-06 06:41:16.736-08,83,94
2014-11-06 06:41:16.736-08,2014-11-06 06:41:16.736-08,11,94
2014-11-06 06:41:16.736-08,2014-11-06 06:41:16.736-08,5,94
2014-11-06 06:41:16.736-08,2014-11-06 06:41:16.736-08,17,94
2014-11-06 06:41:16.736-08,2014-11-06 06:41:16.736-08,19,94
2014-11-06 06:41:16.736-08,2014-11-06 06:41:16.736-08,18,94
2014-11-06 06:41:16.736-08,2014-11-06 06:41:16.736-08,20,94
2014-11-06 06:41:16.736-08,2014-11-06 06:41:16.736-08,38,94
2014-11-06 06:41:16.736-08,2014-11-06 06:41:16.736-08,81,94
2014-11-06 06:41:16.736-08,2014-11-06 06:41:16.736-08,7,94
2014-11-06 06:52:53.577-08,2014-11-06 06:52:53.577-08,5,97
2014-11-06 06:52:53.577-08,2014-11-06 06:52:53.577-08,10,97
2014-11-06 06:52:53.577-08,2014-11-06 06:52:53.577-08,1,97
2014-11-06 06:52:53.577-08,2014-11-06 06:52:53.577-08,15,97
2014-11-06 06:52:53.577-08,2014-11-06 06:52:53.577-08,7,97
2014-11-06 06:52:53.577-08,2014-11-06 06:52:53.577-08,8,97
2014-11-06 06:52:53.577-08,2014-11-06 06:52:53.577-08,41,97
2014-11-06 06:52:53.577-08,2014-11-06 06:52:53.577-08,83,97
2014-11-06 06:52:53.577-08,2014-11-06 06:52:53.577-08,19,97
2014-11-06 06:52:53.577-08,2014-11-06 06:52:53.577-08,20,97
2014-11-06 07:00:40.203-08,2014-11-06 07:00:40.203-08,1,98
2014-11-06 07:00:40.203-08,2014-11-06 07:00:40.203-08,5,98
2014-11-06 07:00:40.203-08,2014-11-06 07:00:40.203-08,7,98
2014-11-06 07:00:40.203-08,2014-11-06 07:00:40.203-08,8,98
2014-11-06 07:00:40.203-08,2014-11-06 07:00:40.203-08,3,98
2014-11-06 07:00:40.203-08,2014-11-06 07:00:40.203-08,4,98
2014-11-06 07:00:40.203-08,2014-11-06 07:00:40.203-08,10,98
2014-11-06 07:00:40.203-08,2014-11-06 07:00:40.203-08,83,98
2014-11-06 07:00:40.203-08,2014-11-06 07:00:40.203-08,15,98
2014-11-06 07:00:40.203-08,2014-11-06 07:00:40.203-08,19,98
2014-11-06 07:00:40.203-08,2014-11-06 07:00:40.203-08,41,98
2014-11-06 07:03:23.945-08,2014-11-06 07:03:23.945-08,80,10
2014-11-06 11:23:54.35-08,2014-11-06 11:23:54.35-08,19,93
2014-11-06 11:23:54.35-08,2014-11-06 11:23:54.35-08,11,93
2014-11-06 11:30:56.008-08,2014-11-06 11:30:56.008-08,4,92
2014-11-06 11:30:56.008-08,2014-11-06 11:30:56.008-08,87,92
2014-11-06 11:30:56.008-08,2014-11-06 11:30:56.008-08,7,92
2014-11-06 11:30:56.008-08,2014-11-06 11:30:56.008-08,11,92
2014-11-06 11:30:56.008-08,2014-11-06 11:30:56.008-08,19,92
2014-11-06 11:30:56.008-08,2014-11-06 11:30:56.008-08,20,92
2014-11-26 12:22:55.29-08,2014-11-26 12:22:55.29-08,8,47
2014-11-26 12:22:55.29-08,2014-11-26 12:22:55.29-08,13,47
2014-11-26 12:22:55.29-08,2014-11-26 12:22:55.29-08,16,47
2014-11-26 12:22:55.29-08,2014-11-26 12:22:55.29-08,20,47
2014-11-26 12:22:55.29-08,2014-11-26 12:22:55.29-08,41,47
2014-11-26 12:22:55.29-08,2014-11-26 12:22:55.29-08,85,47
2014-11-26 12:23:37.01-08,2014-11-26 12:23:37.01-08,1,53
2014-11-26 12:23:37.01-08,2014-11-26 12:23:37.01-08,2,53
2014-11-26 12:23:37.01-08,2014-11-26 12:23:37.01-08,5,53
2014-11-26 12:23:37.01-08,2014-11-26 12:23:37.01-08,6,53
2014-11-26 12:23:37.01-08,2014-11-26 12:23:37.01-08,7,53
2014-11-26 12:23:37.01-08,2014-11-26 12:23:37.01-08,8,53
2014-11-26 12:23:37.01-08,2014-11-26 12:23:37.01-08,10,53
2014-11-26 12:23:37.01-08,2014-11-26 12:23:37.01-08,11,53
2014-11-26 12:23:37.01-08,2014-11-26 12:23:37.01-08,12,53
2014-11-26 12:23:37.01-08,2014-11-26 12:23:37.01-08,14,53
