id,title,eligibleBusinessLocation,applicationCost,applicationDeadline,avgApplicationTime,benefitDescription,agencyContactName,agencyContactEmail,agencyContactPhone,minimumYearsInBusiness,eligibleEntityTypes,currentEmployeesRequired,annualRevenue,eligibleIndustries,gender,additionalDemographics,additionalGeneralInformation,investingOwnMoney,moneyInvested,createdAt,updatedAt,purpose,age,benefitType,creatorId,agencyId
49,Pequeñas Hospederías,{anywhere_in_pr},25,2040-12-30 16:00:00-08,90 días,"
Cantidad: 

•Hasta $10,000,000 

Uso de fondos: 

•Capital de operaciones hasta 5 años. 
•Compra de maquinaria y equipo hasta 5 años. 
•Mejoras permanentes hasta 10 años*. 
•Compra o construcción de propiedad inmueble hasta 30 años.*

*Los financiamientos para mejoras permanentes y construcción serán otorgados por el BDEPR y la CT y serán manejados por la Autoridad para el Financiamiento de la Infraestructura (AFI) u otra entidad privada con experiencia en el manejo de préstamos de construcción. Se establecerá un acuerdo entre la CT, la AFI y el BDEPR para establecer los términos para el manejo de estos financiamientos. 

Gastos relacionados: 

•Los gastos legales podrán ser financiados. 

Tipo de financiamiento: 

•Préstamos en participación en partes iguales (50%* cada uno) en pari passu con la CT y el BDEPR. La participación del BDEPR será hasta un máximo de $10,000,000. Estos financiamientos se podrán tramitar a través del Programa 504 de la Administración de Pequeños Negocios (SBA). 

	*A discreción del BDEPR pudiéramos aumentar nuestra participación en exceso del 50% de ser necesario para la viabilidad del proyecto. 

Colateral/Garantías: 

•Se considerarán los bienes adquiridos con el financiamiento y los bienes del negocio que estén libres de gravámenes. Se tomará UCC Filing general. Además, el BDEPR, en coordinación con la CT, evaluará la disponibilidad de otras colaterales, tanto del negocio como de los garantizadores. 

Aportación: 

•10% al 20% del costo del proyecto, según sea determinado por las entidades que participen en el financiamiento. 

Tasa de interés anual: 
•6.50% - 10.75% 

Tasa de interés será calculada a base de análisis de riesgo y crédito. La misma podrá ser fija o fluctuante. De ser fluctuante podrá variar con los cambios de la tasa de interés preferente (prime rate).

Cargo por compromiso: 

•1.25% en financiamientos menores de $500,000. 
•1.50% en financiamientos de $500,000 o más. 

Cargo por manejo: 

•0.25% en financiamientos menores de $500,000. 
•0.50% en financiamientos de $500,000 o más.",Jorge Martí,jmarti@bde.pr.gov,7876414300,0,{for_profit},{any},{any},"{other,_aplican_alojamiento_y_desayuno_o_bed_and_breakfast_casa_de_huspedes_o_guest_house_hotel_ecohospederas_agrohospederas_paradores_posadas}",any,,"Los financiamientos a ser evaluados que estén relacionados con el sector económico de turismo deben recibir el aval de la Compañía de Turismo (CT) antes de la evaluación del Banco de Desarrollo Económico para Puerto Rico (BDEPR). En los casos en que se soliciten financiamientos para nuevas hospederías o expansión de las existentes, deberemos recibir el endoso financiero de la CT, previo al análisis del BDEPR.",true,10%-20% costo total,2014-07-08 08:15:46.01-07,2014-09-08 07:50:11.356-07,{anything},{0},{loan},6,3
40,Alianza para la Autogestión y el Financiamiento Microempresarial para Familias de Escasos Recursos del Programa de Rehabilitación Económica y Social (PRES) ,{anywhere_in_pr},25,2040-12-30 16:00:00-08,90 días,"Cantidad máxima: 
•Hasta $15,000*

*La ADSEF-DF se reserva el derecho de recomendar préstamos de mayor cantidad. Esta excepción no podrá exceder la cantidad de veinticinco mil dólares ($25,000.00) por cada persona natural o jurídica.


Aportación mínima: 
•$0.00


Uso de fondos / Términos: 

•Equipo, maquinaria, inventario y otros que permita el empleo o auto empleo y cualquier otra de acuerdo a los objetivos del PRES y previa autorización de la ADSEF-DF.


•El BDEPR, a su discreción, tendrá la facultad de determinar y establecer los términos de repago de cada préstamo de acuerdo a la capacidad de pago de la persona participante. 


Tasa de interés anual: 
•3.25% (Actual)*
*Tasa de interés preferente (prime rate) prevaleciente en el mercado al momento del cierre del préstamo.


Cargo por compromiso:
•1% de la cantidad aprobada.


Cargo por manejo:
•$0.00",Jorge Martí,jmarti@bde.pr.gov,7876414300,0,{for_profit},{any},{any},{any},any,,Diseñado para proveer alternativas de financiamiento a los participantes del Programa de Rehabilitación Económica y Social de la Administración de Desarrollo Socioeconómico de la Familia (ADSEF) según sean certificados por dicha dependencia gubernamental. ,true,0%,2014-07-07 15:31:27.123-07,2014-09-09 08:26:51.468-07,{anything},{0},"{incentive,loan}",6,3
98,Plaza del Mercado ,{caguas},200,2024-06-29 17:00:00-07,ninguna,"Punto de venta para productos organicos, agroecológicos, comida, cafe y oficinas.  Funciona como una incubadora para desarrollar nuevos negocios.  ",María Ivette Burgos Rosario,mburgos@caguas.gov.pr,787-653-8833,0,{any},{any},{any},{other},any,,"",true,0-1000,2014-09-10 12:16:52.617-07,2014-11-06 07:00:40.2-08,"{open_location,start_business,keep_employees,relocate_business}",{0},{other},8,1
117,Acción Empresarial,{anywhere_in_pr},0,2015-06-29 17:00:00-07,15-60 dias,"El programa Acción Empresarial tiene como fin apoyar el crecimiento profecional y empresarial de jóvenes emprendedores.
El programa  invertirá estratégicamnete en misiones comerciales, exposiciones, convenciones, citas de negocios, campamentos de desarrollo profecional, entre otros.
Acción Empresarial brinda hasta un maximo de $2,000 a ser rembolsados del costo de: pasaje, hotel, transpotacion, entre otros gastos de viaje, con los fines antes mencionados, de aquel joven emprendedor que desee exportar su producto, negocio o servicio al extranjero.",Luis C. Cruz Garcia,lcruz@oaj.pr.gov,787.725.8920,0,{any},{any},{any},{any},any,,"La edades oficiales para participar del Programa son entre 21 a 29 años.  El jóven debe completar toda la documentación requerida y cumplir con los Estándares de la OAJ.

Para más información acceda a: http://www.oaj.pr.gov/",false,"",2014-09-11 11:00:15.447-07,2014-09-11 14:13:10.068-07,{export},"{1,2}",{reimbursement},12,106
90,Ley 74-2010 Desarrollo Turístico,{anywhere_in_pr},1500,2043-12-31 16:00:00-08,60 días hasta 120 días,"La Ley 74, mejor conocida como la Ley de Desarrollo Turístico de 2010, ofrece los siguientes beneficios:
A) Crédito por Inversión Turística (requiere de una inversión elegible, actividad no puede ser financiada en su totalidad.)
B) Exención de un 90% en contribución sobre ingresos y hasta 100% si se ubican en Vieques o Culebra
C) Exención de un 90% en toda la contribución sobre Propiedad Mueble e Inmueble.
D) Exención sobre patentes, arbitrios y otras contribuciones municipales (Negocio Nuevo 100%) (Negocio Existente 90%)
E) Exención de 100% sobre los arbitrios municipales de construcción.
F) Exención de 100% en el pago de impuestos por importación de artículos e IVU. 

",Maritere Colon Domínguez,Maritere.Colon@tourism.pr.gov,787-721-2400 Extensión 2403,0,{any},{any},{any},"{11,23,53,71,72,48-49}",any,{any},"La cantidad máxima del crédito estará limitada a 10% del costo total elegible del proyecto o 50% del efectivo aportado por los inversionistas, lo que sea menor.

El crédito disponible se toma en dos plazos: 50% en el año en que el negocio exento obtuvo el financiamiento necesario para la construcción total del proyecto de turismo, 50% el año siguiente. 
Todo Peticionario debe obtener el asesoramiento de la Oficina de Planificación y Desarrollo de la Compañía de Turísmo en sus aspectos físicos y operacionales. 

Para más información ver: La Ley de Desarrollo Turístico la Ley 74 de 10 de julio de 2010 y el Reglamento Número 8185 del 20 de abril de 2012.",true,"",2014-09-10 08:23:15.247-07,2014-09-19 10:56:30.186-07,"{other,sertitularyuoperadordeunaactividadtursticaelegiblehotelescondohotelesparadoresagrohospedajestimeshareturismonuticoturismomdicoparquestematicosentreotros}",{0},"{incentive,loan}",14,6
106,Ley 73-2008: Incentivos económicos para el desarrollo de Puerto Rico,{anywhere_in_pr},750,0001-12-31 16:07:02-07:52:58 BC,90-120 días,"La Ley No. 73 del 2008, conocida como la Ley de Incentivos Económicos para el Desarrollo de Puerto Rico, es el resultado de sobre seis décadas de experiencia en el desarrollo industrial. Dicho estatuto ofrece incentivos contributivos para atraer nuevas operaciones a la Isla, así como retener y estimular el desarrollo de las ya existentes. La Ley también otorga créditos contributivos por creación de empleos y por la inversión que realice la empresa en actividades de investigación y desarrollo. Las empresas pueden acceder a otros incentivos para reducir sus costos de operación y consumo energético, de suerte que sus operaciones sean eficientes y rentables.",Elizabeth Aponte,elizabeth.aponte@oeci.pr.gpv,787-765-1171,0,{any},{6_25},{any},{31-33},any,,"",false,"",2014-09-11 08:01:44.121-07,2014-09-11 08:03:16.391-07,{export},{0},"{incentive,loan}",18,8
37,Comunidades Especiales,{anywhere_in_pr},25,2040-12-30 16:00:00-08,90 días,"Cantidad máxima: 
•Hasta $100,000

Uso de fondos: 

•Capital de operaciones hasta 8 años.
•Compra de maquinaria y equipo hasta 8 años.
•Mejoras permanentes hasta 10 años.
•Compra o construcción de propiedad inmueble hasta 30 años.


Tasa de interés anual: 

•3.25% fijo por los primeros 3 años (actual)*.
*La tasa de interés se fijará a la tasa de interés preferente (prime rate) prevaleciente a la fecha del cierre.


Aportación mínima: 

•No se requiere aportación en préstamos hasta $16,000.
•10% de aportación en préstamos de $16,001 a $100,000.


Colateral: 
•Bienes muebles e inmuebles financiados con el préstamo.


Cargo por compromiso: 
•1.25% del total del financiamiento.


Descuento: 
•Descuento de 0.25% del cargo por compromiso antes mencionado.

Cargo por manejo: 
•0.25% del total del financiamiento.",Jorge Martí,jmarti@bde.pr.gov,7876414300,0,{any},{any},{any},"{other,_negocios_nuevos_o_existentes}",any,,Producto de financiamiento dirigido a promover el desarrollo de microempresas en las Comunidades Especiales.,,"",2014-07-07 15:13:13.799-07,2014-09-08 08:40:32.942-07,{anything},{0},{loan},6,3
43,Préstamo Directo,{anywhere_in_pr},25,2040-12-30 16:00:00-08,90 días,"Cantidad máxima: 
•Hasta $10,000,000

Por ciento a financiar: 

•Bienes inmuebles – hasta 80% del precio total o valor de tasación, lo que resulte menor.
•Bienes muebles – hasta 75% del costo si es nuevo o 60% del costo o del valor de tasación si es usado, lo que resulte menor. 
•Capital de operaciones – se evaluará caso a caso.


Uso de fondos: 

•Capital de operaciones hasta 5 años.
•Compra de maquinaria y equipo hasta 7 años.
•Mejoras permanentes hasta 10 años.
•Compra o construcción de propiedad hasta 30 años.

Aportación mínima requerida: 

•10% en negocios que lleven operando más de dos años.
•20% en negocios nuevos o que lleven operando dos años o menos.


Tasa de interés anual: 

•6.50% - 10.75%
Tasa de interés será calculada a base de análisis de riesgo y crédito. La misma podrá ser fija o fluctuante. De ser fluctuante podrá variar con los cambios de la tasa de interés preferente (prime rate). 

Cargo por compromiso: 

•1.25% en financiamientos menores de $500,000.
•1.50% en financiamientos de $500,000 o más.


Cargo por manejo: 

•0.25% en financiamientos menores de $500,000.
•0.50% en financiamientos de $500,000 o más.",Jorge Martí,jmarti@bde.pr.gov,7876414300,0,{any},{any},{any},"{other,financiamientoparapequeasymedianasempresaspymes}",any,{any},"Producto creado para financiar negocios dedicados a la manufactura, comercio, turismo, agricultura y servicios.",true,10% a 20%,2014-07-07 15:42:37.218-07,2014-09-09 11:41:44.616-07,{anything},{0},{incentive},6,3
27,Mujer Empresaria,{anywhere_in_pr},25,2040-12-30 16:00:00-08,90 días,"Elegibles: 
•Mujeres que ostenten una participación de 51% o más en la empresa.


Cantidad máxima: 
•Hasta  $500,000

Uso de fondos: 
•Capital operacional hasta 5 años
•Compra de equipo y maquinaria hasta 7 años
•Mejoras hasta 10 años
•Compra o construcción de inmueble hasta 30 años

Aportación mínima: 
•10% del costo total del proyecto.


Tasa de interés anual: 

•6.50% - 10.75%
Tasa de interés será calculada a base de análisis de riesgo y crédito. La misma podrá ser fija o fluctuante. De ser fluctuante podrá variar con los cambios de la tasa de interés preferente (prime rate). 

Descuento: 

•Descuento de 1% de la tasa de interés antes mencionada.

Cargo por compromiso: 
•1.25% del total del financiamiento.

Descuento: 
•0.50% del cargo por compromiso antes mencionado.

Cargo por manejo: 
•0.25% del total del financiamiento.",Jorge Martí,jmarti@bde.pr.gov,7876414300,0,"{for_profit,sole_proprietor}",{any},{any},{any},female,,"Producto creado para promover el establecimiento de nuevas empresas y el desarrollo de aquellas ya establecidas dirigidas por mujeres, motivando la participación de la mujer en el campo empresarial.",,"",2014-07-03 15:43:12.965-07,2014-09-08 08:49:43.995-07,{anything},{0},"{incentive,loan}",6,3
107,Ley 27-2011 Programa de Incentivos para la Industria Fílmica,{anywhere_in_pr},0,2024-06-29 17:00:00-07,desde 6 meses hasta 10 meses,"- 40% en créditos contributivos sobre los pagos a Residentes de Puerto Rico
- 20% en créditos contributivos sobre los pagos a No-Residentes cualificados",Carla Cardona,carla.cardona@puertoricofilm.pr.gov,787-754-6444,0,{any},{any},{any},{51},any,{any},"Para conocer los pasos a seguir para solicitar al Programa de Incentivos para la Industria Fílmica, pueden acceder el siguiente enlace: http://puertoricofilm.org/incentives/how-to-apply/.
Formularios y Reglamentos de este programa, se encuentra en el siguiente enlace: http://puertoricofilm.org/incentives/forms-and-regulations/.",true,"Mínimo de $100,000 en gastos de producción en Puerto Rico ($50,000 en los proyectos de cortometrajes)",2014-09-11 08:39:49.397-07,2014-09-18 07:55:49.244-07,{cinematographic_production},{0},{incentive},13,71
