id,name,description,reqProvider,link,cost,creatorId,createdAt,updatedAt
1,Certificación Reciente de Negativa de Deuda por Todos los Conceptos del CRIM,,CRIM,https://serviciosenlinea.gobierno.pr/crim/,$2.50,1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
2,Certificación Reciente Negativa Propiedad Inmueble del CRIM (con estado de cuenta) y/o Copia del Contrato de Arrendamiento,,CRIM,https://serviciosenlinea.gobierno.pr/crim/,$2.50,1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
3,Resolución Corporativa autorizando a la persona a firmar el contrato,,CCE,"Formulario
http://www.comercioyexportacion.com/images/Hoja_de_requisitos_de_MC_rev_mar_2014.pdf","",1,2014-10-15 10:02:55.978-07,2014-10-15 10:02:55.978-07
4,Plan de Negocio,,CCE,"Informativo
http://www.comercioyexportacion.com/explorar/establecer/pasos-para-establecer-un-negocio.html ",Sin Costo - pasos para preparar plan de negocio,1,2014-10-15 10:02:55.978-07,2014-10-15 10:02:55.978-07
5,Certificaciones de Cumplimiento de la Administración Para el Sustento de Menores,,ASUME,http://www2.pr.gov/Pages/informaciondeformulariosprgovSolicituddeCertificaci%C3%B3ndeCumplimientodeASUME.aspx,Sin Costo,1,2014-10-15 10:02:55.978-07,2014-10-15 10:02:55.978-07
6,Certificación de No Deuda del Municipio donde la empresa opera o llevará a cabo su operación,,CRIM,http://www.crimpr.net/crimdnn,"",1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
7,Certificado de “Good Standing” ,,Departamento de Estado,https://prcorpfiling.f1hst.com/,$100 con fines de lucro y $10 sin fines de lucro,1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
8,Certificado de Registro del Departamento de Estado,,Departamento de Estado,https://prcorpfiling.f1hst.com/,$110 con fines de lucro y $7 sin fines de lucro,1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
9,Registro de Transacciones comerciales,,Departamento de Estado,http://www2.pr.gov/agencias/estado/Pages/RegUCC.aspx,"",1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
10,Certificación de Radicación de Planillas de los últimos 5 años,,Departamento de Hacienda,https://colecturia.hacienda.gobierno.pr/Portal/,Sin Costo,1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
11,Certificación del Registro de Comerciantes,,Departamento de Hacienda,"Registro - https://ivuregistro.hacienda.gobierno.pr/RegistroComerciantes/registro1.aspx
Aplicación PICO - https://comerciantes.hacienda.pr.gov/","",1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
12,Certificación Reciente de No Deuda Contributiva,,Departamento de Hacienda,https://colecturia.hacienda.gobierno.pr/Portal/,Sin Costo,1,2014-10-15 10:02:55.98-07,2014-10-15 10:02:55.98-07
13,Estados Financiero o Copia Ultima Planilla de Contribución sobre Ingresos (si aplica),,Departamento de Hacienda,https://colecturia.hacienda.gobierno.pr/Portal/,Sin costo,1,2014-10-15 10:02:55.98-07,2014-10-15 10:02:55.98-07
14,Certificación Actualizada de No Deuda del Seguro Choferil del DTRH (si aplica),,DTRH,https://serviciosenlinea.gobierno.pr/dtrh/Default.aspx,Sin Costo,1,2014-10-15 10:02:55.98-07,2014-10-15 10:02:55.98-07
15,Certificación Actualizada de No Deuda del Seguro por Desempleo e Incapacidad,,DTRH,https://serviciosenlinea.gobierno.pr/dtrh/Default.aspx,Sin Costo,1,2014-10-15 10:02:55.98-07,2014-10-15 10:02:55.98-07
16,Últimas dos (2) Planillas Trimestrales del DTRH con evidencia de pago (si aplica),,DTRH ,https://patronos.dtrh.gobierno.pr/patronos/acercade.aspx?Id=228&M=286&F=12,registro,1,2014-10-15 10:02:55.98-07,2014-10-15 10:02:55.98-07
17,Licencia o Pasaporte,,Licencia » DTOP / Pasaporte » US Department of State,"http://www.dtop.gov.pr/serviciosenlinea/
https://es.usps.com/shop/apply-for-a-passport.htm",Variable,1,2014-10-15 10:02:55.981-07,2014-10-15 10:02:55.981-07
18,Declaración de Volumen de Negocio,,Municipio,"Formulario de acuerdo a municipio, no hay un estandar.","",1,2014-10-15 10:02:55.981-07,2014-10-15 10:02:55.981-07
19,Patente Municipal Vigente,,Municipio,"Patente Municipal-Una vez tienes tu permiso de uso, debes ir al municipio en donde establecerás tu negocio para solicitar la patente municipal. Muchos municipios además del Permiso de Uso, te piden que lleves la última planilla personal radicada en Hacienda, certificación negativa de deuda de Hacienda y del CRIM. Mi recomendación, antes de ir al Municipio a solicitar patente, llama antes por teléfono, pide la división de patentes y pregunta cuáles son los documentos que debes llevar contigo para solicitar patente por primera vez. De esta manera te ahorras tiempo.","",1,2014-10-15 10:02:55.981-07,2014-10-15 10:02:55.981-07
